iter	RMSE
0	21.77199276
1	20.56810057
2	19.33148886
3	18.18414645
4	17.29964579
5	16.44667655
6	15.69949251
7	14.91690958
8	14.35952517
9	13.76229878
10	13.26463303
11	12.79330863
12	12.37919745
13	11.98135286
14	11.609332
15	11.25727807
16	10.96611278
17	10.66830536
18	10.41440834
19	10.27812078
20	10.06958091
21	9.829640063
22	9.653478471
23	9.495272321
24	9.315125656
25	9.132327956
26	8.984384238
27	8.8479452
28	8.716272989
29	8.613227761
30	8.490815547
31	8.387231939
32	8.293207238
33	8.209967193
34	8.139603557
35	8.072374146
36	8.011548448
37	7.909157413
38	7.855847103
39	7.797677409
40	7.718138199
41	7.64107728
42	7.602333156
43	7.569761566
44	7.511243827
45	7.454562293
46	7.418352855
47	7.375104081
48	7.339894508
49	7.331062715
50	7.225268967
51	7.18555183
52	7.158504246
53	7.096496993
54	7.017208646
55	6.992735682
56	6.967178595
57	6.942576352
58	6.909872963
59	6.878440807
60	6.850239772
61	6.749526058
62	6.715864101
63	6.660301657
64	6.582238637
65	6.555269704
66	6.529601077
67	6.505909828
68	6.462472558
69	6.399434468
70	6.386807681
71	6.369798646
72	6.345862426
73	6.325737881
74	6.262547751
75	6.245558804
76	6.228394285
77	6.169837038
78	6.14837807
79	6.125296477
80	6.104673774
81	6.033206053
82	5.952951732
83	5.850208157
84	5.77561349
85	5.757732609
86	5.713536707
87	5.680680942
88	5.626006589
89	5.573640624
90	5.561840644
91	5.48339494
92	5.46068721
93	5.398730396
94	5.346000605
95	5.299611691
96	5.282419634
97	5.272601602
98	5.221390012
99	5.201650587
100	5.174467048
101	5.155803673
102	5.14930653
103	5.088839233
104	5.041382765
105	4.978414605
106	4.961247605
107	4.919161977
108	4.873365632
109	4.829138071
110	4.786915413
111	4.741289182
112	4.705074732
113	4.670813995
114	4.630706118
115	4.601070532
116	4.58318506
117	4.526659233
118	4.485917935
119	4.469664373
120	4.434265549
121	4.400025739
122	4.385336301
123	4.325098169
124	4.298078628
125	4.266499126
126	4.236112543
127	4.216560223
128	4.186678376
129	4.151019291
130	4.123542682
131	4.110531001
132	4.087145208
133	4.071843755
134	4.052979387
135	4.014201228
136	3.999026758
137	3.981129474
138	3.96848089
139	3.943513094
140	3.921594258
141	3.906115573
142	3.895353597
143	3.8789863
144	3.867187352
145	3.857050133
146	3.847512225
147	3.824068987
148	3.78723686
149	3.772778425
