iter	Passed	Remaining
0	0	29
1	0	22
2	0	18
3	0	17
4	0	16
5	0	15
6	0	14
7	0	13
8	0	13
9	0	12
10	0	12
11	1	12
12	1	12
13	1	11
14	1	11
15	1	11
16	1	11
17	1	11
18	1	11
19	1	11
20	1	11
21	1	11
22	1	11
23	2	10
24	2	10
25	2	10
26	2	10
27	2	10
28	2	9
29	2	9
30	2	9
31	2	9
32	2	9
33	2	9
34	2	9
35	2	8
36	2	8
37	2	8
38	3	8
39	3	8
40	3	8
41	3	8
42	3	8
43	3	8
44	3	7
45	3	7
46	3	7
47	3	7
48	3	7
49	3	7
50	3	7
51	3	7
52	3	7
53	4	7
54	4	7
55	4	6
56	4	6
57	4	6
58	4	6
59	4	6
60	4	6
61	4	6
62	4	6
63	4	6
64	4	6
65	4	6
66	4	6
67	4	5
68	5	5
69	5	5
70	5	5
71	5	5
72	5	5
73	5	5
74	5	5
75	5	5
76	5	5
77	5	5
78	5	5
79	5	5
80	5	4
81	5	4
82	5	4
83	6	4
84	6	4
85	6	4
86	6	4
87	6	4
88	6	4
89	6	4
90	6	4
91	6	4
92	6	4
93	6	4
94	6	4
95	7	3
96	7	3
97	7	3
98	7	3
99	7	3
100	7	3
101	7	3
102	7	3
103	7	3
104	7	3
105	7	3
106	7	3
107	7	3
108	8	3
109	8	3
110	8	2
111	8	2
112	8	2
113	8	2
114	8	2
115	9	2
116	9	2
117	9	2
118	9	2
119	9	2
120	9	2
121	9	2
122	9	2
123	10	2
124	10	2
125	10	1
126	10	1
127	10	1
128	10	1
129	10	1
130	10	1
131	10	1
132	10	1
133	10	1
134	11	1
135	11	1
136	11	1
137	11	0
138	11	0
139	11	0
140	11	0
141	11	0
142	11	0
143	11	0
144	11	0
145	12	0
146	12	0
147	12	0
148	13	0
149	13	0
