ID,SMILES,filename,activation_energy,,pka,dipole,C_Polarization,C_s,B_s,,,,,,,,,,stoichiometry,,homo_energy,lumo_energy,,electronegativity,,,,,,,,,,,,,,,Bond_Length,,,,,,Mulliken_charge_B,,NPA_charge_B,,,,,,,,,,,,,,,,,VBur_C,Mulliken_charge_C,,NPA_charge_C
sub1_A1,CC(B1OC(C)(C)C(C)(C)O1)(C)C2=CC=CC=C2,GRSRGXIHQJVENI-UHFFFAOYSA-N_conf_0.log,17.4,,36.43,1.9421,71.55,25.75,38.99,,,,,,,,,,C15H23BO2,,-0.28448,0.03042,,0.12703,,,,,,,,,,,,,,,1.581581786,,,,,,0.2339,,1.33717,,,,,,,,,,,,,,,,,0.793659534,-0.294407,,-0.46931
sub1_A2,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,VNYHYPMNRXFAAP-LLVKDONJSA-N_conf_0.log,20.2,,35.81,1.5555,70.31,27.55,39.01,,,,,,,,,,C14H21BO2,,-0.28599,0.03057,,0.12771,,,,,,,,,,,,,,,1.575133372,,,,,,0.172453,,1.29772,,,,,,,,,,,,,,,,,0.680144745,-0.079111,,-0.64566
sub1_A3,CCCCC(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,RDFNXOQAYHOWOR-OAHLLOKOSA-N_conf_0.log,17.7,,36.41,1.3504,70.5,27.77,39.2,,,,,,,,,,C17H27BO2,,-0.28316,0.03182,,0.12567,,,,,,,,,,,,,,,1.581936532,,,,,,0.17531,,1.30735,,,,,,,,,,,,,,,,,0.7124764,-0.012293,,-0.64622
sub1_A4,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C(C)(C)C)C=C2,URMKDSVLGDFPIE-ZDUSSCGKSA-N_conf_0.log,21.4,,37.5,1.4094,70.26,27.43,39.1,,,,,,,,,,C18H29BO2,,-0.27568,0.03038,,0.12265,,,,,,,,,,,,,,,1.575111808,,,,,,0.177348,,1.29831,,,,,,,,,,,,,,,,,0.680459408,-0.072782,,-0.64352
sub1_A5,CC(O1)(C)C(C)(C)OB1C(CCC2=CC=CC=C2)C3=CC=CC=C3,MTTJMTKVNSSIRJ-IBGZPJMESA-N_conf_0.log,19,,35.31,1.2638,70.63,27.77,39.02,,,,,,,,,,C21H27BO2,,-0.28731,0.02809,,0.12961,,,,,,,,,,,,,,,1.576307744,,,,,,0.161761,,1.30597,,,,,,,,,,,,,,,,,0.721208307,-0.038663,,-0.6454
sub1_A6,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(OC)C=C2,WUZKZXBLMYEIAG-LLVKDONJSA-N_conf_0.log,24.1,,38.66,0.9774,70.35,26.97,38.84,,,,,,,,,,C15H23BO3,,-0.25819,0.03027,,0.11396,,,,,,,,,,,,,,,1.573792851,,,,,,0.166952,,1.29978,,,,,,,,,,,,,,,,,0.681482064,-0.081009,,-0.63923
sub1_A7,CC1(C)C(C)(C)OB(C(CC2=CC=CC=C2)C3=CC=CC=C3)O1,HKYQZMRQHKZQJJ-SFHVURJKSA-N_conf_0.log,18,,35.34,0.723,70.91,28.57,38.85,,,,,,,,,,C20H25BO2,,-0.28403,0.02252,,0.130755,,,,,,,,,,,,,,,1.5776861,,,,,,0.197694,,1.31911,,,,,,,,,,,,,,,,,0.73623348,-0.073835,,-0.64444
sub1_A8,CC1(C)C(C)(C)OB(C(CC2CC2)C3=CC=CC=C3)O1,ZNPLPFCERMBRLA-HNNXBMFYSA-N_conf_0.log,19.2,,36.3,1.3871,70.4,28.79,39.4,,,,,,,,,,C17H25BO2,,-0.28615,0.03156,,0.127295,,,,,,,,,,,,,,,1.580755769,,,,,,0.163246,,1.30477,,,,,,,,,,,,,,,,,0.720736312,-0.010392,,-0.6501
sub1_A9,CC(B1OC(C)(C)C(C)(C)O1)C2=CC=C(C3=CC=CC=C3)C=C2,PXQUBGHKGUBQJJ-HNNXBMFYSA-N_conf_0.log,18.3,,32.04,1.6717,70.32,27.44,38.94,,,,,,,,,,C20H25BO2,,-0.26672,0.00067,,0.133025,,,,,,,,,,,,,,,1.575427468,,,,,,0.172197,,1.29707,,,,,,,,,,,,,,,,,0.680223411,-0.0747,,-0.64459
sub1_A10,CC(CC)(B1OC(C)(C)C(C)(C)O1)C2=CC=CC=C2,NRSAEGKSYWRIAK-MRXNPFEDSA-N_conf_0.log,15.8,,37.25,1.1907,71.84,27.12,39.31,,,,,,,,,,C16H25BO2,,-0.2852,0.0363,,0.12445,,,,,,,,,,,,,,,1.581475059,,,,,,0.18511,,1.34322,,,,,,,,,,,,,,,,,0.827407174,-0.278587,,-0.48334
